epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
104,35564.8,2.42158,1.20942,1.12576,0.52689,0.49959,0.41571,0.11091,2.91008,1.51212,1.41699,0.0029409,0.0009803,0.0029409,0.0009803,0.0029409,0.0009803,0.0029409,0.0009803
105,35907.6,2.55787,1.37419,1.16267,0.39349,0.48291,0.31938,0.08692,2.77408,1.67089,1.32806,0.0029112,0.0009704,0.0029112,0.0009704,0.0029112,0.0009704,0.0029112,0.0009704
106,36248.6,2.42704,1.29277,1.13436,0.46479,0.52456,0.40154,0.115,2.68379,1.60789,1.30539,0.0028815,0.0009605,0.0028815,0.0009605,0.0028815,0.0009605,0.0028815,0.0009605
107,36589.1,2.40312,1.23694,1.11505,0.50625,0.51306,0.4178,0.11111,2.7879,1.52623,1.34412,0.0028518,0.0009506,0.0028518,0.0009506,0.0028518,0.0009506,0.0028518,0.0009506
108,36934.5,2.35229,1.20062,1.10719,0.52813,0.52414,0.44749,0.1233,2.74896,1.51245,1.33518,0.0028221,0.0009407,0.0028221,0.0009407,0.0028221,0.0009407,0.0028221,0.0009407
109,37276.7,2.33946,1.20116,1.11045,0.55375,0.53747,0.46861,0.12993,2.73181,1.50871,1.32696,0.0027924,0.0009308,0.0027924,0.0009308,0.0027924,0.0009308,0.0027924,0.0009308
110,37622.2,2.31556,1.17438,1.10648,0.54646,0.52986,0.45108,0.12221,2.80771,1.50108,1.36114,0.0027627,0.0009209,0.0027627,0.0009209,0.0027627,0.0009209,0.0027627,0.0009209
111,37978.6,2.31753,1.16797,1.10171,0.54428,0.52623,0.44551,0.12146,2.81967,1.50169,1.38268,0.002733,0.000911,0.002733,0.000911,0.002733,0.000911,0.002733,0.000911
112,38295.2,2.3179,1.17671,1.10276,0.51197,0.50836,0.42103,0.11469,2.78369,1.56927,1.33656,0.0027033,0.0009011,0.0027033,0.0009011,0.0027033,0.0009011,0.0027033,0.0009011
113,38587.5,2.32426,1.16855,1.11268,0.53633,0.51414,0.43551,0.12083,2.76993,1.53516,1.36419,0.0026736,0.0008912,0.0026736,0.0008912,0.0026736,0.0008912,0.0026736,0.0008912
114,38921.6,2.30373,1.16663,1.10052,0.54725,0.51211,0.44141,0.12269,2.79371,1.53354,1.35333,0.0026439,0.0008813,0.0026439,0.0008813,0.0026439,0.0008813,0.0026439,0.0008813
115,39256.6,2.30205,1.1503,1.08758,0.52077,0.50985,0.41809,0.11396,2.81749,1.55099,1.35388,0.0026142,0.0008714,0.0026142,0.0008714,0.0026142,0.0008714,0.0026142,0.0008714
116,39592.3,2.32383,1.15955,1.10433,0.54395,0.5226,0.44053,0.11921,2.81783,1.53499,1.37525,0.0025845,0.0008615,0.0025845,0.0008615,0.0025845,0.0008615,0.0025845,0.0008615
117,39926.1,2.29029,1.15654,1.09238,0.52406,0.5086,0.41774,0.11407,2.81123,1.54255,1.35207,0.0025548,0.0008516,0.0025548,0.0008516,0.0025548,0.0008516,0.0025548,0.0008516
118,40260,2.27602,1.12521,1.08817,0.55046,0.52223,0.44774,0.12439,2.82984,1.52616,1.39158,0.0025251,0.0008417,0.0025251,0.0008417,0.0025251,0.0008417,0.0025251,0.0008417
119,40614.4,2.25902,1.1275,1.0876,0.56678,0.52931,0.45847,0.125,2.81174,1.47378,1.35954,0.0024954,0.0008318,0.0024954,0.0008318,0.0024954,0.0008318,0.0024954,0.0008318
120,40971.7,2.23873,1.11464,1.08924,0.57112,0.52819,0.46668,0.12854,2.82078,1.49631,1.36886,0.0024657,0.0008219,0.0024657,0.0008219,0.0024657,0.0008219,0.0024657,0.0008219
121,41331.8,2.23074,1.09745,1.07589,0.57411,0.52815,0.46156,0.12647,2.85493,1.4903,1.38715,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812
122,41674.7,2.2275,1.09874,1.08124,0.55807,0.52298,0.45196,0.1235,2.82608,1.49634,1.36419,0.0024063,0.0008021,0.0024063,0.0008021,0.0024063,0.0008021,0.0024063,0.0008021
123,42015,2.21867,1.08796,1.07224,0.58034,0.53812,0.47144,0.12826,2.85577,1.4537,1.39192,0.0023766,0.0007922,0.0023766,0.0007922,0.0023766,0.0007922,0.0023766,0.0007922
124,42358.5,2.19942,1.07827,1.07366,0.57644,0.53396,0.46435,0.12551,2.89822,1.47109,1.4063,0.0023469,0.0007823,0.0023469,0.0007823,0.0023469,0.0007823,0.0023469,0.0007823
125,42700.2,2.19015,1.06803,1.07054,0.58077,0.53792,0.47035,0.12853,2.88253,1.43602,1.40972,0.0023172,0.0007724,0.0023172,0.0007724,0.0023172,0.0007724,0.0023172,0.0007724
126,43044.6,2.18816,1.06738,1.06771,0.57699,0.54061,0.46412,0.12616,2.89425,1.43875,1.41354,0.0022875,0.0007625,0.0022875,0.0007625,0.0022875,0.0007625,0.0022875,0.0007625
127,43383,2.16748,1.051,1.06413,0.56255,0.52908,0.45142,0.12098,2.8887,1.45578,1.40037,0.0022578,0.0007526,0.0022578,0.0007526,0.0022578,0.0007526,0.0022578,0.0007526
